CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
100071922,07/20/2014,15:00:00,,,73,07/20/2014,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,CHURCH,N.Y. POLICE DEPT,0,,,NA,1009352,179479,,UNKNOWN,F,,40.65927773,-73.909527515,"(40.65927773, -73.909527515)",PATROL BORO BKLYN NORTH,,25-44,WHITE HISPANIC,F
100071947,09/09/2007,23:10:00,09/09/2007,23:15:00,103,09/10/2007,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1046496,197769,,,,,40.709296246,-73.775482638,"(40.709296246, -73.775482638)",PATROL BORO QUEENS SOUTH,,45-64,BLACK,M
100071971,07/17/2010,22:45:00,07/17/2010,23:15:00,102,07/17/2010,106,FELONY ASSAULT,106,ASSAULT POLICE/PEACE OFFICER,COMPLETED,FELONY,QUEENS,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1023526,189981,,,,,40.688051803,-73.858379728,"(40.688051803, -73.858379728)",PATROL BORO QUEENS SOUTH,,,UNKNOWN,E
100071992,04/04/2010,19:57:00,04/04/2010,20:17:00,66,04/04/2010,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,988054,172674,,,,,40.640634239,-73.986294702,"(40.640634239, -73.986294702)",PATROL BORO BKLYN SOUTH,,<18,WHITE HISPANIC,M
100072054,04/24/2015,19:00:00,04/24/2015,19:30:00,14,04/25/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,,,NA,986757,214577,,BLACK,M,,40.755648675,-73.990952519,"(40.755648675, -73.990952519)",PATROL BORO MAN SOUTH,,25-44,WHITE HISPANIC,F
100072101,03/26/2010,20:00:00,03/26/2010,22:00:00,22,04/04/2010,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,NA,,NA,994617,227693,,,,,40.791642943,-73.96256189,"(40.791642943, -73.96256189)",PATROL BORO MAN NORTH,,25-44,WHITE,M
100072204,01/04/2016,00:01:00,01/05/2016,23:59:00,17,01/06/2016,109,GRAND LARCENY,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,990115,210610,,,,,40.744758671,-73.978835393,"(40.744758671, -73.978835393)",PATROL BORO MAN SOUTH,,65+,WHITE,M
100072324,12/04/2012,09:15:00,12/04/2012,09:20:00,103,12/04/2012,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1039300,191438,25-44,WHITE HISPANIC,M,,40.691966871,-73.801489972,"(40.691966871, -73.801489972)",PATROL BORO QUEENS SOUTH,,25-44,WHITE HISPANIC,F
100072362,01/22/2012,07:00:00,01/22/2012,07:40:00,63,01/22/2012,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1000667,167270,,,,,40.62578701,-73.940860137,"(40.62578701, -73.940860137)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
100072594,07/30/2018,19:30:00,07/30/2018,21:00:00,60,07/30/2018,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,,990767,148872,UNKNOWN,UNKNOWN,U,,40.57530103700003,-73.97654206499993,"(40.575301037, -73.976542065)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,F
100072887,07/23/2019,03:30:00,07/23/2019,04:10:00,100,07/23/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,1041447,155013,25-44,WHITE,M,,40.59197471900006,-73.79405667399999,"(40.59197471900006, -73.79405667399999)",PATROL BORO QUEENS SOUTH,,45-64,BLACK,F
100072945,02/12/2020,01:00:00,02/12/2020,02:00:00,79,02/14/2020,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,483,995302,190524,25-44,UNKNOWN,M,,40.68962245400007,-73.96014913199997,"(40.68962245400007, -73.96014913199997)",PATROL BORO BKLYN NORTH,,45-64,UNKNOWN,F
100072969,06/29/2009,08:00:00,06/29/2009,09:00:00,81,07/06/2009,109,GRAND LARCENY,419,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1003127,190619,,BLACK,M,,40.689869978,-73.931932773,"(40.689869978, -73.931932773)",PATROL BORO BKLYN NORTH,,65+,BLACK,F
